Pathway,negLogPvalue,Ratio,Zscore,Molecules
eNOS Signaling,0.354,0.0186,#NUM!,CASP8 CHRM5 CNGB3
Class C/3 (Metabotropic glutamate/pheromone receptors),0.34,0.025,#NUM!,GABBR1
Potassium Channels,0.333,0.0194,#NUM!,GABBR1 KCNH1
GPER1 signaling,0.333,0.0194,#NUM!,STK33 WHR1
RNA Polymerase III Transcription,0.332,0.0244,#NUM!,BRF2
NoRC negatively regulates rRNA expression,0.329,0.0192,#NUM!,H2BC21 H3C6
Gαq Signaling,0.325,0.0178,#NUM!,CHRM5 HTR2B PLD6
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0.324,0.0238,#NUM!,TIRAP
Replacement of protamines by nucleosomes in the male pronucleus,0.324,0.0238,#NUM!,H2BC21
April Mediated Signaling,0.324,0.0238,#NUM!,FOS
Cardiac β-adrenergic Signaling,0.321,0.0176,#NUM!,GDE1 PDE6B PLD6
CDK5 Signaling,0.319,0.0189,#NUM!,EGR1 FOSB
Apoptosis Signaling,0.319,0.0189,#NUM!,CAPN8 CASP8
Germ Cell-Sertoli Cell Junction Signaling,0.318,0.0175,#NUM!,IQGAP1 TUBA3E TUBB1
Signaling by SCF-KIT,0.317,0.0233,#NUM!,MMP9
DAP12 interactions,0.317,0.0233,#NUM!,LCP2
Smooth Muscle Contraction,0.317,0.0233,#NUM!,ANXA1
B Cell Activating Factor Signaling,0.317,0.0233,#NUM!,FOS
Oncostatin M Signaling,0.317,0.0233,#NUM!,PLAU
Transport of inorganic cations/anions and amino acids/oligopeptides,0.315,0.0187,#NUM!,SLC6A14 SLC9A1
Senescence Pathway,0.312,0.0165,#NUM!,ACVR2B CAPN8 GADD45B PDK2 SAA1
Epithelial Membrane Protein Signaling Pathway,0.311,0.0173,#NUM!,ACVR2B ANPEP ITGAL
Signaling by Retinoic Acid,0.31,0.0227,#NUM!,PDK2
TP53 Regulates Transcription of Cell Death Genes,0.31,0.0227,#NUM!,STEAP3
TBC/RABGAPs,0.31,0.0227,#NUM!,MAP1LC3B
Aspirin ADME,0.31,0.0227,#NUM!,SLC22A7
Ribonucleotide Reductase Signaling Pathway,0.307,0.0172,#NUM!,FOS MMP9 PARP12
Signaling by the B Cell Receptor (BCR),0.307,0.0172,#NUM!,BCL10 PSMD9 PSME1
SUMOylation of transcription cofactors,0.303,0.0222,#NUM!,PARK7
Interleukin-10 signaling,0.303,0.0222,#NUM!,PTGS2
RNA Polymerase I Transcription,0.298,0.018,#NUM!,H2BC21 H3C6
Role of IL-17F in Allergic Inflammatory Airway Diseases,0.297,0.0217,#NUM!,RPS6KA2
Apelin Pancreas Signaling Pathway,0.297,0.0217,#NUM!,ERN1
Actin Cytoskeleton Signaling,0.295,0.0164,#NUM!,IQGAP1 ITGAL MYH4 SLC9A1
Role of RIG1-like Receptors in Antiviral Innate Immunity,0.29,0.0213,#NUM!,CASP8
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,0.286,0.0175,#NUM!,PLA2G4C PTGS2
DNA Damage Bypass,0.284,0.0208,#NUM!,POLH
Inositol phosphate metabolism,0.284,0.0208,#NUM!,MTMR7
Antimicrobial peptides,0.278,0.0204,#NUM!,ITLN1
Heme signaling,0.278,0.0204,#NUM!,MAFK
iNOS Signaling,0.278,0.0204,#NUM!,FOS
Signaling by ERBB2,0.272,0.02,#NUM!,PTK6
nNOS Signaling in Neurons,0.272,0.02,#NUM!,CAPN8
Pre-NOTCH Expression and Processing,0.271,0.0169,#NUM!,H2BC21 H3C6
ABC-family proteins mediated transport,0.271,0.0169,#NUM!,PSMD9 PSME1
O-linked glycosylation,0.271,0.0169,#NUM!,ADAMTS13 CFP
Virus Entry via Endocytic Pathways,0.267,0.0168,#NUM!,AP5B1 TFRC
NR1H2 and NR1H3-mediated signaling,0.266,0.0196,#NUM!,APOE
Fc Epsilon RI Signaling,0.263,0.0167,#NUM!,LCP2 PLA2G4C
IL-17 Signaling,0.261,0.0159,#NUM!,FOS MMP9 PTGS2
Sperm Motility,0.261,0.0156,#NUM!,CNGB3 PLA2G4C PRKG2 PTK6
Apoptotic execution phase,0.261,0.0192,#NUM!,CASP8
Activation of anterior HOX genes in hindbrain during early embryogenesis,0.26,0.0165,#NUM!,H2BC21 H3C6
NGF Signaling,0.26,0.0165,#NUM!,RPS6KA2 SMPD2
Synthesis of DNA,0.253,0.0163,#NUM!,PSMD9 PSME1
Proteasomal PSMD10 Signaling Pathway,0.253,0.0163,#NUM!,MMP9 PSMD9
Coronavirus Replication Pathway,0.253,0.0156,#NUM!,TMPRSS2 TUBA3E TUBB1
Signaling by TGF-beta Receptor Complex,0.25,0.0185,#NUM!,F11R
Retinol Biosynthesis,0.25,0.0185,#NUM!,LPL
UVB-Induced MAPK Signaling,0.25,0.0185,#NUM!,FOS
NOD1/2 Signaling Pathway,0.25,0.0155,#NUM!,ERN1 FOS TLR8
IL-13 Signaling Pathway,0.249,0.0161,#NUM!,SERPINE3 SOCS3
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway,0.247,0.0155,#NUM!,EGR1 FOS MMP9
Intrinsic Pathway for Apoptosis,0.245,0.0182,#NUM!,CASP8
CSDE1 Signaling Pathway,0.24,0.0179,#NUM!,FOS
CNTF Signaling,0.24,0.0179,#NUM!,RPS6KA2
Folate Signaling Pathway,0.235,0.0175,#NUM!,KLF4
ROBO SLIT Signaling Pathway,0.233,0.0155,#NUM!,CNTNAP2 FOS
Signaling by PDGF,0.231,0.0172,#NUM!,THBS4
Role of CHK Proteins in Cell Cycle Checkpoint Control,0.231,0.0172,#NUM!,HUS1
Role of IL-17A in Arthritis,0.231,0.0172,#NUM!,PTGS2
Asparagine N-linked glycosylation,0.23,0.0154,#NUM!,DAD1 MAN2A1
TR/RXR Activation,0.227,0.0153,#NUM!,ME1 TSHB
Signaling by ERBB4,0.226,0.0169,#NUM!,APOE
E3 ubiquitin ligases ubiquitinate target proteins,0.221,0.0167,#NUM!,BCL10
GABA receptor activation,0.221,0.0167,#NUM!,GABBR1
Triacylglycerol Biosynthesis,0.217,0.0164,#NUM!,OSGEPL1
Triacylglycerol Degradation,0.213,0.0161,#NUM!,LPL
NCAM signaling for neurite out-growth,0.209,0.0159,#NUM!,SPTBN5
Transcriptional Regulation by MECP2,0.209,0.0159,#NUM!,GAMT
Thrombopoietin Signaling,0.205,0.0156,#NUM!,FOS
Mitochondrial protein import,0.201,0.0154,#NUM!,PAM16
RAB geranylgeranylation,0.201,0.0154,#NUM!,RAB27B
Dilated Cardiomyopathy Signaling Pathway,0,0.0132,#NUM!,CNN1 MYH4
Oxytocin in Brain Signaling Pathway,0,0.0149,#NUM!,KCNJ13 PLA2G4C PTGS2
Pulmonary Healing Signaling Pathway,0,0.0149,#NUM!,CELA2A MMP28 MMP9
CLEAR Signaling Pathway,0,0.014,#NUM!,BLOC1S3 LAMTOR1 RRAGD TLR8
SNARE Signaling Pathway,0,0.0145,#NUM!,MYH4 SYT13
Macrophage Classical Activation Signaling Pathway,0,0.0106,#NUM!,IRF8 SOCS3
Natural Killer Cell Signaling,0,0.0149,#NUM!,ITGAL LCP2 STAT4
Neuregulin Signaling,0,0.00847,#NUM!,ITGAL
Circadian Rhythm Signaling,0,0.0111,#NUM!,CSNK2A1 GUCY2D PRKG2
Synaptic Long Term Potentiation,0,0.00806,#NUM!,RAPGEF3
Amyotrophic Lateral Sclerosis Signaling,0,0.00855,#NUM!,CAPN8
Synaptic Long Term Depression,0,0.0152,#NUM!,GUCY2D PLA2G4C PRKG2
Acetylcholine Receptor Signaling Pathway,0,0.0152,#NUM!,CASP8 CHRM5 TH
Adrenergic Receptor Signaling Pathway (Enhanced),0,0.0101,#NUM!,ADRB3 TH
GABAergic Receptor Signaling Pathway (Enhanced),0,0.0143,#NUM!,CNTNAP2 GABBR1
Orexin Signaling Pathway,0,0.00826,#NUM!,GCG PLA2G4C
p53 Signaling,0,0.0102,#NUM!,GADD45B
PIP3 activates AKT signaling,0,0.00676,#NUM!,NR4A1
Eukaryotic Translation Elongation,0,0.00606,#NUM!,EEF1A1
Signaling by VEGF,0,0.00935,#NUM!,CYBA
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,0,0.00494,#NUM!,C3 ITGAL SH2D1B
Cell surface interactions at the vascular wall,0,0.00922,#NUM!,F11R ITGAL
Generic Transcription Pathway,0,0.00699,#NUM!,HDAC10 NR4A1 ZNF729
COPII-mediated vesicle transport,0,0.0137,#NUM!,SEC23B
DNA Damage/Telomere Stress Induced Senescence,0,0.0128,#NUM!,H2BC21
EPH-Ephrin signaling,0,0.0108,#NUM!,MMP9
Signaling by ROBO receptors,0,0.0069,#NUM!,PSMD9 PSME1
G alpha (12/13) signalling events,0,0.0125,#NUM!,ARHGEF3
Cardiac conduction,0,0.00769,#NUM!,SCN4A
RHO GTPases Activate Formins,0,0.0143,#NUM!,TUBA3E TUBB1
Deubiquitination,0,0.0105,#NUM!,H2BC21 PSMD9 PSME1
Nonhomologous End-Joining (NHEJ),0,0.0149,#NUM!,H2BC21
DNA Double Strand Break Response,0,0.013,#NUM!,H2BC21
Major pathway of rRNA processing in the nucleolus and cytosol,0,0.00391,#NUM!,SNU13
Keratinization,0,0.00926,#NUM!,CELA2A TGM1
Intra-Golgi and retrograde Golgi-to-ER traffic,0,0.0147,#NUM!,MAN2A1 TUBA3E TUBB1
Mitotic Prophase,0,0.0142,#NUM!,H2BC21 H3C6
Mitotic Prometaphase,0,0.0146,#NUM!,CSNK2A1 TUBA3E TUBB1
Processing of Capped Intron-Containing Pre-mRNA,0,0.00345,#NUM!,SNU13
Eukaryotic Translation Initiation,0,0.0099,#NUM!,CP EIF3H
Nucleosome assembly,0,0.0141,#NUM!,H2BC21
Cargo recognition for clathrin-mediated endocytosis,0,0.00952,#NUM!,TFRC
Clathrin-mediated endocytosis,0,0.00775,#NUM!,TFRC
RAB GEFs exchange GTP for GDP on RABs,0,0.0111,#NUM!,RAB27B
Sensory processing of sound by inner hair cells of the cochlea,0,0.0145,#NUM!,CABP2
Expression and translocation of olfactory receptors,0,0.00246,#NUM!,OR8G5
Ion channel transport,0,0.00546,#NUM!,TSC22D3
Autism Signaling Pathway,0,0.00326,#NUM!,CNTNAP2
CGAS-STING Signaling Pathway,0,0.0145,#NUM!,IDO2 MAP1LC3B
Protein Sorting Signaling Pathway,0,0.011,#NUM!,PLD6 SEC23B
Sleep NREM Signaling Pathway,0,0.0087,#NUM!,ADRB3
WNT/SHH Axonal Guidance Signaling Pathway,0,0.00658,#NUM!,SFRP1
Cohesin Chromatin Regulation Pathway,0,0.01,#NUM!,H2BC21 H3C6 PCDHB3
Mitochondrial Division Signaling Pathway,0,0.00602,#NUM!,CASP8
Ribosomal Quality Control Signaling Pathway,0,0.00649,#NUM!,PSMD9 PSME1
MITF-M-dependent gene expression,0,0.00909,#NUM!,IRF4
Regulation of endogenous retroelements,0,0.0142,#NUM!,H2BC21 H3C6
ID3 Signaling Pathway,0,0.00206,#NUM!,EGR1 LGALS1
Centrosomal KIAA0586 Signaling Pathway,0,0.0149,#NUM!,PSMD9 PSME1
Cilia Biogenesis Signaling Pathway,0,0.0147,#NUM!,TTC8 TUBA3E TUBB1
Warburg Effect Signaling Pathway,0,0.00769,#NUM!,FOSL1
GAIT Translation Signaling Pathway,0,0.011,#NUM!,APOE CP EIF3H
Lysosome Positioning Signaling Pathway,0,0.0128,#NUM!,LAMTOR1 TLR8
CGRP in Inflammation and Nociception Signaling Pathway,0,0.0068,#NUM!,RAPGEF3
Exocyst Signaling Pathway,0,0.00181,#NUM!,IQGAP1
XIST Epigenetic Regulation Signaling Pathway,0,0.013,#NUM!,KLF4 NSUN6
Regulation of Actin-based Motility by Rho,0,0.00885,#NUM!,ITGAL
α-Adrenergic Signaling,0,0.00901,#NUM!,PYGL
Caveolar-mediated Endocytosis Signaling,0,0.0128,#NUM!,ITGAL
TREM1 Signaling,0,0.0127,#NUM!,TLR8
Role of NFAT in Regulation of the Immune Response,0,0.00191,#NUM!,FOS LCP2
LPS-stimulated MAPK Signaling,0,0.0118,#NUM!,FOS
CCR5 Signaling in Macrophages,0,0.00199,#NUM!,FOS
Calcium-induced T Lymphocyte Apoptosis,0,0.00215,#NUM!,NR4A1
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells,0,0.00234,#NUM!,CASP8
IL-3 Signaling,0,0.0123,#NUM!,FOS
Airway Pathology in Chronic Obstructive Pulmonary Disease,0,0.00877,#NUM!,MMP9
CXCR4 Signaling,0,0.0119,#NUM!,EGR1 FOS
Induction of Apoptosis by HIV1,0,0.0152,#NUM!,CASP8
IL-15 Production,0,0.0082,#NUM!,PTK6
T Helper Cell Differentiation,0,0.00211,#NUM!,STAT4
CCR3 Signaling in Eosinophils,0,0.00725,#NUM!,PLA2G4C
CD28 Signaling in T Helper Cells,0,0.00574,#NUM!,BCL10 FOS LCP2
Dendritic Cell Maturation,0,0.00493,#NUM!,IL1RL2 IRF8 STAT4
HIF1α Signaling,0,0.00952,#NUM!,MMP28 MMP9
Neuropathic Pain Signaling in Dorsal Horn Neurons,0,0.0099,#NUM!,FOS
Factors Promoting Cardiogenesis in Vertebrates,0,0.00662,#NUM!,ACVR2B
Renin-Angiotensin Signaling,0,0.0082,#NUM!,FOS
Thrombin Signaling,0,0.00889,#NUM!,ARHGEF3 GATA1
Cardiac Hypertrophy Signaling,0,0.00383,#NUM!,ADRB3
ICOS-ICOSL Signaling in T Helper Cells,0,0.00195,#NUM!,LCP2
HMGB1 Signaling,0,0.00625,#NUM!,FOS
GNRH Signaling,0,0.0104,#NUM!,EGR1 FOS
Human Embryonic Stem Cell Pluripotency,0,0.01,#NUM!,ACVR2B KLF4
Melanocyte Development and Pigmentation Signaling,0,0.0101,#NUM!,RPS6KA2
DNA Methylation and Transcriptional Repression Signaling,0,0.0102,#NUM!,GADD45B
ATM Signaling,0,0.01,#NUM!,GADD45B
Antiproliferative Role of Somatostatin Receptor 2,0,0.013,#NUM!,GUCY2D
Androgen Signaling,0,0.00571,#NUM!,SHBG
Aldosterone Signaling in Epithelial Cells,0,0.0117,#NUM!,HSPA12B SLC9A1
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,0,0.00813,#NUM!,ACVR2B
Renal Cell Carcinoma Signaling,0,0.0128,#NUM!,FOS
Type I Diabetes Mellitus Signaling,0,0.0039,#NUM!,CASP8 SOCS3
Glioma Signaling,0,0.00781,#NUM!,HDAC10
Acute Myeloid Leukemia Signaling,0,0.0109,#NUM!,PIM2
Type II Diabetes Mellitus Signaling,0,0.0132,#NUM!,SMPD2 SOCS3
Gα12/13 Signaling,0,0.00746,#NUM!,F2RL1
p70S6K Signaling,0,0.00172,#NUM!,F2RL1
mTOR Signaling,0,0.0125,#NUM!,EIF3H PLD6 RPS6KA2
G Protein Signaling Mediated by Tubby,0,0.00213,#NUM!,LCP2
Communication between Innate and Adaptive Immune Cells,0,0.00106,#NUM!,TLR8
Crosstalk between Dendritic Cells and Natural Killer Cells,0,0.0102,#NUM!,ITGAL
Systemic Lupus Erythematosus Signaling,0,0.00374,#NUM!,CREM FOS PIM2 SNU13
CDC42 Signaling,0,0.00515,#NUM!,FOS IQGAP1 ITGAL
EIF2 Signaling,0,0.00347,#NUM!,EIF3H
AMPK Signaling,0,0.0123,#NUM!,ADRB3 CHRM5 MLYCD
PAK Signaling,0,0.00847,#NUM!,ITGAL
RAC Signaling,0,0.0144,#NUM!,IQGAP1 ITGAL
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis,0,0.00106,#NUM!,TLR8
Regulation of eIF4 and p70S6K Signaling,0,0.00917,#NUM!,EIF3H ITGAL
Leptin Signaling in Obesity,0,0.013,#NUM!,SOCS3
Role of NFAT in Cardiac Hypertrophy,0,0.00437,#NUM!,HDAC10
IL-1 Signaling,0,0.0102,#NUM!,FOS
RANK Signaling in Osteoclasts,0,0.0108,#NUM!,FOS
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes,0,0.00428,#NUM!,BCL10 FOS
Granzyme A Signaling,0,0.0135,#NUM!,H1-6
NUR77 Signaling in T Lymphocytes,0,0.00193,#NUM!,NR4A1
PKCθ Signaling in T Lymphocytes,0,0.00535,#NUM!,BCL10 FOS LCP2
PI3K Signaling in B Lymphocytes,0,0.00507,#NUM!,BCL10 C3 FOS
P2Y Purinergic Receptor Signaling Pathway,0,0.00746,#NUM!,FOS
Cyclins and Cell Cycle Regulation,0,0.0116,#NUM!,HDAC10
Role of JAK1 and JAK3 in γc Cytokine Signaling,0,0.0145,#NUM!,SOCS3
Actin Nucleation by ARP-WASP Complex,0,0.011,#NUM!,ITGAL
Dopamine-DARPP32 Feedback in cAMP Signaling,0,0.0112,#NUM!,CREM PRKG2
Paxillin Signaling,0,0.00943,#NUM!,ITGAL
RHOGDI Signaling,0,0.0136,#NUM!,ARHGEF3 ITGAL MYH4
Telomerase Signaling,0,0.00926,#NUM!,HDAC10
Transcriptional Regulatory Network in Embryonic Stem Cells,0,0.0122,#NUM!,ACVR2B KLF4
Ephrin A Signaling,0,0.00709,#NUM!,PRKG2
ERBB Signaling,0,0.0108,#NUM!,FOS
GDNF Family Ligand-Receptor Interactions,0,0.0132,#NUM!,FOS
Gαi Signaling,0,0.0137,#NUM!,GABBR1 RALGDS
PEDF Signaling,0,0.0119,#NUM!,CASP8
Regulation of the Epithelial-Mesenchymal Transition Pathway,0,0.0103,#NUM!,EGR1 MMP9
TEC Kinase Signaling,0,0.00518,#NUM!,FOS ITGAL STAT4
HIPPO signaling,0,0.013,#NUM!,MST1
WNT/Ca2+ Signaling Pathway,0,0.0152,#NUM!,PDE6B
Estrogen Receptor Signaling,0,0.00726,#NUM!,FOS MMP28 MMP9
Cell Cycle: G1/S Checkpoint Regulation,0,0.0145,#NUM!,HDAC10
PTEN Signaling,0,0.0132,#NUM!,CSNK2A1 ITGAL
Protein Ubiquitination Pathway,0,0.0108,#NUM!,HSPA12B PSMD9 PSME1
GABA Receptor Signaling,0,0.00752,#NUM!,GABBR1
IL-4 Signaling,0,0.00174,#NUM!,IRF4
B Cell Receptor Signaling,0,0.00313,#NUM!,BCL10 EGR1
Insulin Receptor Signaling,0,0.00775,#NUM!,SOCS3
Chemokine Signaling,0,0.012,#NUM!,FOS
Neurotrophin/TRK Signaling,0,0.0128,#NUM!,FOS
Integrin to Cytoskeleton Signaling Pathway,0,0.00943,#NUM!,CAPN8 ITGAL
Dopamine Receptor Signaling,0,0.0139,#NUM!,TH
BMP signaling pathway,0,0.0111,#NUM!,ACVR2B
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells,0,0.0084,#NUM!,GCG
Sumoylation Pathway,0,0.0099,#NUM!,FOS
GP6 Signaling Pathway,0,0.00781,#NUM!,LCP2
Opioid Signaling Pathway,0,0.0141,#NUM!,FOS FOSB RPS6KA2 TH
Th17 Activation Pathway,0,0.00611,#NUM!,IRF4 SOCS3 STAT4
Endocannabinoid Neuronal Synapse Pathway,0,0.00667,#NUM!,PTGS2
Apelin Cardiomyocyte Signaling Pathway,0,0.01,#NUM!,SLC9A1
Apelin Endothelial Signaling Pathway,0,0.0069,#NUM!,FOS
Synaptogenesis Signaling Pathway,0,0.0126,#NUM!,APOE CNTNAP2 SYT13 THBS4
White Adipose Tissue Browning Pathway,0,0.0144,#NUM!,ADRB3 PRKG2
Inhibition of ARE-Mediated mRNA Degradation Pathway,0,0.0123,#NUM!,PSMD9 PSME1
HOTAIR Regulatory Pathway,0,0.0121,#NUM!,MMP28 MMP9
BEX2 Signaling Pathway,0,0.0122,#NUM!,LGALS1
Xenobiotic Metabolism General Signaling Pathway,0,0.0122,#NUM!,GSTP1 MGST2
Insulin Secretion Signaling Pathway,0,0.00704,#NUM!,GCG STAT4
Semaphorin Neuronal Repulsive Signaling Pathway,0,0.0134,#NUM!,ITGAL PRKG2
Calcium Signaling,0,0.0138,#NUM!,CHRM5 HDAC10 MYH4
GM-CSF Signaling,0,0.0143,#NUM!,CISH
Ephrin Receptor Signaling,0,0.00495,#NUM!,ITGAL
Ferroptosis Signaling Pathway,0,0.0146,#NUM!,STEAP3 TFRC
